nct_id,pmid
NCT00417222,25637937
NCT00000609,15659722
NCT00336336,18757089
NCT00336336,18757090
NCT00095238,19001508
NCT00000609,19704100
NCT00046228,19850248
NCT00174785,20436046
NCT02441218,20801500
NCT01130246,24247616
NCT00094302,24716680
NCT00968708,25765696
NCT00099788,26059896
NCT00094302,26475142
NCT01035255,26541915
NCT01147250,26630143
NCT01035255,27395349
NCT01661634,28402745
NCT01930682,28844990
NCT01032629,29526832
NCT01131676,29777264
NCT01730534,30882238
NCT00000476,9036306
NCT00139386,26254019
NCT01035255,27143684
NCT00043784,16304073
NCT00000609,19917887
NCT00433966,24084625
NCT00977938,25399658
NCT00133003,11419425
NCT00251576,15337732
NCT00827411,25037988
NCT01291641,9841303
NCT00099788,19389561
NCT02446990,25176136
NCT00986050,15734767
NCT00432796,8596317
NCT00133003,11948888
NCT01543555,21464051
NCT00305162,19915221
NCT00133003,14724302
NCT00092651,16709304
NCT00231738,17398308
NCT00092651,17560879
NCT00947843,21816478
NCT00091949,26886418
NCT00091949,27465265
NCT01776424,28844192
NCT01776424,29132880
NCT00000542,12479764
NCT00000542,12925554
NCT00000542,12479763
NCT00092690,15864235
NCT01763866,24825642
NCT00000542,26589819
NCT01225562,29406853
NCT00977938,29073947
NCT00269893,8121459
NCT00283335,10438259
NCT00000476,11527638
NCT01930682,17244641
NCT00046228,18499565
NCT00133692,18657652
NCT00133250,19332467
NCT00077792,20400762
NCT00133250,20582594
NCT00268216,20685748
NCT00623623,23473396
NCT02777580,23473396
NCT02777580,25161043
NCT01347580,25175921
NCT01573143,27144849
NCT01225562,28882235
NCT01776424,29132879
NCT00202878,29151034
NCT00222573,16271643
NCT00986050,11419426
NCT01059136,27102506
NCT00222573,16271642
NCT00077792,16537665
NCT00168792,16488800
NCT00043784,15238590
NCT00133250,11918909
NCT00000558,15531767
NCT00977938,25787199
NCT01663402,30403574
NCT00251576,15451146
NCT00093158,17368152
NCT00093158,18056903
NCT00093158,17124018
NCT00432796,9250846
NCT00338260,12899584
NCT01287117,25046337
NCT00120003,26486868
NCT00202878,28231942
NCT02666664,30865796
NCT00783263,21596364
NCT00418834,20185012
NCT00000614,12601075
NCT00089895,19332455
NCT00046228,19850249
NCT00000479,15753114
NCT00338260,16116047
NCT00090168,16351668
NCT00211705,17011942
NCT00327145,18326958
NCT00000479,18835953
NCT00649389,20678674
NCT00094302,29228101
NCT00092625,15924587
NCT00350168,20409909
NCT00397657,14996776
NCT00441350,20593911
NCT00541697,17451425
NCT00280540,20010618
NCT00338260,12243636
NCT00225589,17384434
NCT00231738,20484828
NCT01225562,27046162
NCT00526474,23501976
NCT01782326,28278391
NCT02414854,29782217
NCT01508936,27018175
NCT02105948,28893134
NCT01691521,25199059
NCT01106014,28818881
NCT01484496,28118533
NCT01597245,30465321
NCT00106847,17097378
NCT00237887,26547918
NCT01358578,27576559
NCT01695239,29945203
NCT00397657,15537681
NCT00133692,15381674
NCT00000542,15851647
NCT00133003,16533938
NCT00000542,16651474
NCT00092586,17058629
NCT00154271,18498915
NCT02666664,18537526
NCT00211705,19104004
NCT00092586,19166691
NCT00099788,19349325
NCT00300456,20136164
NCT00276484,20151997
NCT00463606,20953684
NCT00251134,21060071
NCT00300482,21174145
NCT00000542,22235820
NCT00305162,22305835
NCT00822211,22369287
NCT00000542,22396585
NCT00035984,22913891
NCT00407537,22913893
NCT00059306,23726159
NCT00069784,24898834
NCT00000542,25002161
NCT00131846,25031188
NCT00685776,25670362
NCT00526474,25681464
NCT00526474,25792124
NCT00853827,26523993
NCT01032629,26580237
NCT01035255,26754626
NCT00121641,27033025
NCT00713830,27252787
NCT00602472,27484756
NCT01516879,27619750
NCT00596752,28189475
NCT01225562,28300867
NCT02058160,28386990
NCT02058147,28432746
NCT01516879,28844508
NCT00853658,28948656
NCT01032629,29103664
NCT01272219,29145215
NCT01327846,29146124
NCT00202878,29263150
NCT01327846,29544870
NCT01035255,29661699
NCT00135226,30146931
NCT00135226,30146932
NCT01507831,30183102
NCT02058160,30218434
NCT01347580,30302940
NCT01492361,30415628
NCT02630706,30830724
NCT01179048,30851070
NCT01720446,30851070
NCT00733902,30936738
NCT00000542,10789664
NCT00170950,19052124
NCT00433966,21777884
NCT00059306,22931315
NCT00086502,17157112
NCT00121667,19478198
NCT00313313,19614786
NCT00395343,20092585
NCT00397631,21235696
NCT00482729,21410627
NCT00397631,22405352
NCT00328627,22419732
NCT01524289,25743173
NCT01721044,27799159
NCT00338260,11937179
NCT01225562,27046160
NCT00977938,26994121
NCT00089791,29430796
NCT02203916,29445520
NCT00276484,19026303
NCT01191268,29430801
NCT00133003,10636365
NCT01154036,24063830
NCT01717300,27956003
NCT00231738,19447387
NCT00220961,21428766
NCT00289848,19097665
NCT00094757,17001471
NCT00295633,19864452
NCT00000542,18000186
NCT00000542,18227370
NCT00853957,21925996
NCT00211705,22573644
NCT00093899,18370800
NCT00000542,24842697
NCT00038961,17723125
NCT00237237,18034842
NCT00081731,26653621
NCT00783692,29471381
NCT01257451,23706759
NCT00714961,15758000
NCT00227318,16537662
NCT00279045,17145742
NCT00101751,22509859
NCT01009086,26097039
NCT01885208,29748996
NCT01930188,29748996
NCT02054897,29748996
NCT02207374,29748996
NCT01885208,29766634
NCT01930188,29766634
NCT02054897,29766634
NCT02128932,29766634
NCT02305381,29766634
NCT02706847,29908670
NCT00734630,23519546
NCT00791999,24313916
NCT01272219,27193270
NCT00032890,16495392
NCT00049829,21542001
NCT00627016,21224838
NCT00359905,21109344
NCT00090103,21332630
NCT00919711,24141036
NCT00398931,8950879
NCT00105300,17470824
NCT00152490,17634458
NCT00299546,19560810
NCT00152425,20491747
NCT00410410,22504093
NCT00385736,24067881
NCT01087788,24339179
