pmid,page,tabletype,tabletype_details,tid
19917888,3,TableTidier,result_table_subgroup,1747
23129601,2,TableTidier,result_table_subgroup,776
25523533,2,TableTidier,result_table_subgroup,79
29064626,2,TableTidier,result_table_subgroup,1808
30564451,2,TableTidier,result_table_subgroup,1262
18094675,2,TableTidier,result_table_subgroup,626
18094675,3,TableTidier,result_table_subgroup,979
29671280,2,result_table_without_subgroup,result_table_without_subgroup,1317
20937671,2,TableTidier,result_table_subgroup,90
29409951,2,TableTidier,result_table_subgroup,518
29409951,3,TableTidier,result_table_subgroup,781
26374849,2,TableTidier,result_table_subgroup,239
29431256,2,TableTidier,result_table_subgroup,102
27672117,2,TableTidier,result_table_subgroup,1272
24253831,3,TableTidier,result_table_subgroup,662
30584583,2,TableTidier,result_table_subgroup,1787
30584583,3,TableTidier,result_table_subgroup,804
30587959,3,TableTidier,result_table_subgroup,1599
30587959,5,TableTidier,result_table_subgroup,1303
29909019,2,TableTidier,result_table_subgroup,1689
16801465,2,TableTidier,result_table_subgroup,1298
18676075,2,TableTidier,result_table_subgroup,1708
22052584,2,TableTidier,result_table_subgroup,908
22490878,1,TableTidier,result_table_subgroup,839
22490878,2,TableTidier,result_table_subgroup,824
22490878,3,TableTidier,result_table_subgroup,1249
23963895,2,TableTidier,result_table_subgroup,363
25552421,2,TableTidier,result_table_subgroup,758
25552421,3,TableTidier,result_table_subgroup,243
27684308,2,TableTidier,result_table_subgroup,1525
27742728,2,TableTidier,result_table_subgroup,329
28904068,2,TableTidier,result_table_subgroup,1215
29941478,1,TableTidier,result_table_subgroup,1812
29941478,2,TableTidier,result_table_subgroup,1850
30175930,2,TableTidier,result_table_subgroup,1294
30566006,2,TableTidier,result_table_subgroup,596
17259484,2,TableTidier,result_table_subgroup,343
18498915,2,TableTidier,result_table_subgroup,1104
19443528,2,TableTidier,result_table_subgroup,1330
22913891,3,TableTidier,result_table_subgroup,1306
22913891,5,TableTidier,result_table_subgroup,1173
23451835,2,TableTidier,result_table_subgroup,1698
26132939,2,TableTidier,result_table_subgroup,821
26132939,3,TableTidier,result_table_subgroup,1723
26132939,4,TableTidier,result_table_subgroup,1099
27639753,2,TableTidier,result_table_subgroup,276
28237263,2,TableTidier,result_table_subgroup,1098
28237263,3,TableTidier,result_table_subgroup,511
28386990,3,TableTidier,result_table_subgroup,1428
28753486,2,TableTidier,result_table_subgroup,1230
30547388,3,TableTidier,result_table_subgroup,1415
17384437,fig2,TableTidier,result_table_subgroup,1471
19190658,2,TableTidier,result_table_subgroup,612
21925996,3,TableTidier,result_table_subgroup,1619
29148144,2,TableTidier,result_table_subgroup,69
11442551,2,TableTidier,result_table_subgroup,1726
18479744,2,TableTidier,result_table_subgroup,720
30654882,1,TableTidier,result_table_subgroup,1181
26059896,3,TableTidier,result_table_subgroup,448
26059896,4,TableTidier,result_table_subgroup,1357
26400827,3,TableTidier,result_table_subgroup,745
20678878,2,TableTidier,result_table_subgroup,634
21227674,2,TableTidier,result_table_subgroup,1052
15590586,4,TableTidier,result_table_subgroup,1183
7997016,1,TableTidier,result_table_subgroup,1731
18259029,2,TableTidier,result_table_subgroup,1453
20385930,3,TableTidier,result_table_subgroup,1086
20418083,2,TableTidier,result_table_subgroup,1142
20469975,2,TableTidier,result_table_subgroup,207
20621900,2,TableTidier,result_table_subgroup,1150
21682834,2,TableTidier,result_table_subgroup,639
21815708,1,TableTidier,result_table_subgroup,1167
21815708,2,TableTidier,result_table_subgroup,1835
22235820,2,TableTidier,result_table_subgroup,1080
25455006,2,TableTidier,result_table_subgroup,1269
25475110,2,TableTidier,result_table_subgroup,1071
26373629,3,TableTidier,result_table_subgroup,1595
27935736,2,TableTidier,result_table_subgroup,594
28939567,2,TableTidier,result_table_subgroup,988
29151034,3,TableTidier,result_table_subgroup,1247
29151034,4,TableTidier,result_table_subgroup,1285
29151034,5,TableTidier,result_table_subgroup,1797
29279300,2,TableTidier,result_table_subgroup,1741
30248105,2,TableTidier,result_table_subgroup,483
30354781,2,TableTidier,result_table_subgroup,1370
30830724,5,TableTidier,result_table_subgroup,65
30830724,6,result_table_without_subgroup,result_table_without_subgroup,445
23812596,2,TableTidier,result_table_subgroup,216
19688336,2,TableTidier,result_table_subgroup,854
20979470,2,TableTidier,result_table_subgroup,970
20979470,3,TableTidier,result_table_subgroup,219
18199798,2,TableTidier,result_table_subgroup,859
18615004,2,TableTidier,result_table_subgroup,960
22470539,2,TableTidier,result_table_subgroup,1198
23733198,2,TableTidier,result_table_subgroup,1814
27190009,2,TableTidier,result_table_subgroup,1135
29790415,1,TableTidier,result_table_subgroup,1309
30248105,3,TableTidier,result_table_subgroup,1342
30371334,6,TableTidier,result_table_subgroup,918
30590387,2,TableTidier,result_table_subgroup,91
30614616,2,TableTidier,result_table_subgroup,801
24727258,2,TableTidier,result_table_subgroup,1061
16572114,2,TableTidier,result_table_subgroup,1665
17846352,2,TableTidier,result_table_subgroup,1115
17846352,3,TableTidier,result_table_subgroup,1549
19097665,2,TableTidier,result_table_subgroup,231
19614946,3,TableTidier,result_table_subgroup,96
22248871,2,TableTidier,result_table_subgroup,627
22799613,1,TableTidier,result_table_subgroup,92
22799613,2,TableTidier,result_table_subgroup,731
25354738,2,TableTidier,result_table_subgroup,36
26121561,2,TableTidier,result_table_subgroup,1297
26579834,1,TableTidier,result_table_subgroup,375
26744025,2,TableTidier,result_table_subgroup,1165
28035868,2,TableTidier,result_table_subgroup,428
29664406,2,TableTidier,result_table_subgroup,1562
30474818,2,result_table_without_subgroup,result_table_without_subgroup,1740
30525116,2,TableTidier,result_table_subgroup,1384
30830724,3,TableTidier,result_table_subgroup,1700
30830724,4,TableTidier,result_table_subgroup,152
15590586,2,TableTidier,result_table_subgroup,1386
15590586,3,TableTidier,result_table_subgroup,794
15883637,2,TableTidier,result_table_subgroup,1189
17060377,2,TableTidier,result_table_subgroup,575
17060377,3,TableTidier,result_table_subgroup,1420
17065671,2,TableTidier,result_table_subgroup,245
17878242,1,TableTidier,result_table_subgroup,496
18172039,3,TableTidier,result_table_subgroup,699
18284434,2,TableTidier,result_table_subgroup,337
19139391,2,TableTidier,result_table_subgroup,747
19751115,2,TableTidier,result_table_subgroup,643
19847908,2,TableTidier,result_table_subgroup,238
25352655,3,TableTidier,result_table_subgroup,1435
25852208,2,TableTidier,result_table_subgroup,1448
26066644,1,TableTidier,result_table_subgroup,1286
26373629,2,TableTidier,result_table_subgroup,866
27589414,2,TableTidier,result_table_subgroup,89
28531241,2,TableTidier,result_table_subgroup,1485
28753486,3,TableTidier,result_table_subgroup,45
28801539,3,TableTidier,result_table_subgroup,604
28801539,4,TableTidier,result_table_subgroup,1809
28801539,5,TableTidier,result_table_subgroup,1117
29263150,2,TableTidier,result_table_subgroup,650
30587959,4,TableTidier,result_table_subgroup,581
21627828,2,TableTidier,result_table_subgroup,1226
21642014,3,TableTidier,result_table_subgroup,1857
25406305,2,TableTidier,result_table_subgroup,1284
26475142,3,TableTidier,result_table_subgroup,1413
26704701,2,TableTidier,result_table_subgroup,1362
27354044,2,TableTidier,result_table_subgroup,236
29128192,3,TableTidier,result_table_subgroup,1602
24411003,1,TableTidier,result_table_subgroup,860
29146124,3,result_table_without_subgroup,result_table_without_subgroup,200
30696483,2,TableTidier,result_table_subgroup,48
19389561,2,result_table_without_subgroup,result_table_without_subgroup,586
28197834,2,TableTidier,result_table_subgroup,150
28558833,2,TableTidier,result_table_subgroup,867
30336824,2,result_table_without_subgroup,result_table_without_subgroup,1664
30336824,3,result_table_without_subgroup,result_table_without_subgroup,244
30815468,2,TableTidier,result_table_subgroup,291
