pmid,page,tabletype,tabletype_details,tid
19850525,2,TableTidier,result_table_subgroup,165
22085343,1,TableTidier,result_table_subgroup,1639
22443427,2,TableTidier,result_table_subgroup,857
22443427,3,TableTidier,result_table_subgroup,834
22932716,2,TableTidier,result_table_subgroup,1607
23396280,2,result_table_without_subgroup,result_table_without_subgroup,328
26378978,2,TableTidier,result_table_subgroup,533
26378978,3,TableTidier,result_table_subgroup,986
26627989,2,TableTidier,result_table_subgroup,1703
27299675,2,TableTidier,result_table_subgroup,1816
27418597,2,TableTidier,result_table_subgroup,1528
28386035,1,TableTidier,result_table_subgroup,828
28386035,2,TableTidier,result_table_subgroup,1132
28847206,2,TableTidier,result_table_subgroup,698
28902593,2,TableTidier,result_table_subgroup,707
28972004,1,TableTidier,result_table_subgroup,1771
28972004,2,TableTidier,result_table_subgroup,380
28972004,3,TableTidier,result_table_subgroup,635
28975241,2,TableTidier,result_table_subgroup,1304
29084736,2,TableTidier,result_table_subgroup,1441
30566006,1,TableTidier,result_table_subgroup,740
30586757,3,TableTidier,result_table_subgroup,762
30591006,3,TableTidier,result_table_subgroup,1366
30667279,1,TableTidier,result_table_subgroup,1172
12205648,2,TableTidier,result_table_subgroup,656
30248105,4,TableTidier,result_table_subgroup,1335
18371559,1,TableTidier,result_table_subgroup,1629
23110471,1,TableTidier,result_table_subgroup,1490
23110471,3,TableTidier,result_table_subgroup,1146
26027630,2,TableTidier,result_table_subgroup,1060
27043082,2,TableTidier,result_table_subgroup,543
30586723,3,TableTidier,result_table_subgroup,582
28905478,3,TableTidier,result_table_subgroup,850
24245566,2,TableTidier,result_table_subgroup,75
15579515,2,TableTidier,result_table_subgroup,365
19423108,2,TableTidier,result_table_subgroup,550
21332627,2,TableTidier,result_table_subgroup,114
21332627,3,TableTidier,result_table_subgroup,1112
22259009,2,TableTidier,result_table_subgroup,68
23216615,2,TableTidier,result_table_subgroup,694
23992602,2,TableTidier,result_table_subgroup,572
24067431,2,TableTidier,result_table_subgroup,1153
24076283,2,TableTidier,result_table_subgroup,192
25773268,2,TableTidier,result_table_subgroup,1409
26052984,2,TableTidier,result_table_subgroup,235
26330422,2,TableTidier,result_table_subgroup,1427
26358285,2,TableTidier,result_table_subgroup,1613
26446706,1,TableTidier,result_table_subgroup,870
27289121,2,TableTidier,result_table_subgroup,778
27437883,2,TableTidier,result_table_subgroup,1182
27639753,3,TableTidier,result_table_subgroup,1365
28842165,2,TableTidier,result_table_subgroup,971
29159457,2,TableTidier,result_table_subgroup,1578
30166073,3,TableTidier,result_table_subgroup,295
28666775,2,TableTidier,result_table_subgroup,766
23339726,2,TableTidier,result_table_subgroup,1543
23656980,2,TableTidier,result_table_subgroup,607
23992601,2,TableTidier,result_table_subgroup,813
24206457,2,TableTidier,result_table_subgroup,1630
25189213,2,TableTidier,result_table_subgroup,1397
27647847,2,TableTidier,result_table_subgroup,798
28854085,2,TableTidier,result_table_subgroup,905
29685860,1,TableTidier,result_table_subgroup,1078
29793629,2,TableTidier,result_table_subgroup,1766
29937267,2,TableTidier,result_table_subgroup,1464
29685860,1,TableTidier,result_table_subgroup,1310
19409693,2,TableTidier,result_table_subgroup,1340
20163842,2,TableTidier,result_table_subgroup,1296
21871706,2,TableTidier,result_table_subgroup,735
24119319,2,TableTidier,result_table_subgroup,1232
29490509,2,TableTidier,result_table_subgroup,624
16214597,3,TableTidier,result_table_subgroup,959
19726772,2,TableTidier,result_table_subgroup,1744
20228402,2,TableTidier,result_table_subgroup,213
20228402,3,TableTidier,result_table_subgroup,1489
20228402,4,TableTidier,result_table_subgroup,403
20228403,2,TableTidier,result_table_subgroup,844
20228403,3,TableTidier,result_table_subgroup,1351
20228403,4,TableTidier,result_table_subgroup,855
22234149,2,TableTidier,result_table_subgroup,1548
22686416,2,TableTidier,result_table_subgroup,503
23564916,3,TableTidier,result_table_subgroup,449
23564916,4,TableTidier,result_table_subgroup,1712
25414932,1,TableTidier,result_table_subgroup,1463
26681720,2,TableTidier,result_table_subgroup,1763
27893045,2,TableTidier,result_table_subgroup,413
28327140,2,TableTidier,result_table_subgroup,1508
28605608,2,TableTidier,result_table_subgroup,62
28842165,3,TableTidier,result_table_subgroup,942
28910237,2,TableTidier,result_table_subgroup,1277
30415602,2,TableTidier,result_table_subgroup,664
30882239,3,TableTidier,result_table_subgroup,1382
30425095,1,TableTidier,result_table_subgroup,422
26321103,2,TableTidier,result_table_subgroup,1077
27993292,2,TableTidier,result_table_subgroup,1091
19369667,2,TableTidier,result_table_subgroup,617
19683639,2,TableTidier,result_table_subgroup,1241
19717850,2,TableTidier,result_table_subgroup,1081
24780614,2,TableTidier,result_table_subgroup,1565
28246237,2,TableTidier,result_table_subgroup,1105
14657064,2,TableTidier,result_table_subgroup,1097
25637937,2,TableTidier,result_table_subgroup,1403
15659722,2,TableTidier,result_table_subgroup,196
17384437,fig1,TableTidier,result_table_subgroup,1471
18757089,2,TableTidier,result_table_subgroup,835
18757090,2,TableTidier,result_table_subgroup,1049
19001508,2,TableTidier,result_table_subgroup,1143
19704100,2,TableTidier,result_table_subgroup,1504
19850248,2,TableTidier,result_table_subgroup,941
19850248,3,TableTidier,result_table_subgroup,714
20436046,2,TableTidier,result_table_subgroup,1484
20801500,2,TableTidier,result_table_subgroup,1278
24247616,2,TableTidier,result_table_subgroup,451
24247616,3,TableTidier,result_table_subgroup,1255
24716680,3,TableTidier,result_table_subgroup,502
25765696,2,TableTidier,result_table_subgroup,679
25765696,3,TableTidier,result_table_subgroup,1738
26059896,1,TableTidier,result_table_subgroup,345
26059896,2,TableTidier,result_table_subgroup,497
26475142,2,TableTidier,result_table_subgroup,1856
26541915,2,TableTidier,result_table_subgroup,1431
26541915,6,TableTidier,result_table_subgroup,1535
26630143,2,TableTidier,result_table_subgroup,47
27395349,3,TableTidier,result_table_subgroup,1794
28402745,2,TableTidier,result_table_subgroup,788
28844990,2,TableTidier,result_table_subgroup,1649
29526832,2,TableTidier,result_table_subgroup,742
29777264,1,TableTidier,result_table_subgroup,294
30586723,2,TableTidier,result_table_subgroup,1118
30882238,2,TableTidier,result_table_subgroup,1166
11419425,2,TableTidier,result_table_subgroup,1830
15337732,2,TableTidier,result_table_subgroup,691
25037988,2,TableTidier,result_table_subgroup,281
25037988,3,TableTidier,result_table_subgroup,569
9841303,2,TableTidier,result_table_subgroup,1197
19389561,3,result_table_without_subgroup,result_table_without_subgroup,1017
25176136,2,TableTidier,result_table_subgroup,651
19915221,2,TableTidier,result_table_subgroup,765
14724302,2,TableTidier,result_table_subgroup,227
16214597,2,TableTidier,result_table_subgroup,1367
16709304,2,TableTidier,result_table_subgroup,530
16709304,3,TableTidier,result_table_subgroup,49
